Word,Meaning,Examples/0,Examples/1,Examples/2,Examples/3,Examples/4,Examples/5,Examples/6,Examples/7,Examples/8,Examples/9
A bed of roses,a phrase used to reference a situation that is easy or comfortable,The poor orphan’s life hasn’t been a bed of roses or easy by any means.,"Because Mark studied for many weeks, taking the test was a bed of roses.",The stressed business owner quickly realized that running a company can be difficult and not a bed of roses.,,,,,,,
A Priori,something that is believed to be true without actual reinforcement with facts or statistics,Religious people have the a priori belief that God exists without any physical proof.,"The jaded woman made a priori assumptions that all men were liars, but couldn't possibly know for sure because she has not dated all men.","Christopher Columbus had the a priori belief that the Earth was flat and his men could sail right off the edge because of what he knew about latitude, but without actual experience.",People make a priori assumptions that the sun will rise and set without needing actual proof of the events.,"Lawyers use a priori arguments about their defendants earlier good behavior to try and counteract their current crime, despite evidence to the contrary.",,,,,
Aardvark,"a large, long-eared nocturnal animal that uses its long tongue to eat ants and termites",The long-eared aardvark slept all day and ate insects all night.,"With its rabbit like ears and piglike snout, the aardvark is an interesting looking animal.","Living a solitary nightlife, the African aardvark is a quirky looking animal with sharp claws and a long snout.",The aardvark is a snouty mammal that dines heavily on termites and may eat as many as 100 thousand bugs in a single sitting.,"Though it is a small mammal, the closest relative of the ant-eating aardvark is the elephant.",,,,,
Aback ,in amazement; shocked,I was taken aback by the server’s rude comment about my hair.,"While Amy enjoyed the film as a whole, as a minister she couldn’t help but be taken aback by the strong use of profanity in the dialogue.",Ken believed he had a great marriage so he was definitely taken aback when he received divorce papers.,"At seventy years of age, Wanda was taken aback when her doctor told her she was pregnant.","Although I had been exercising daily and eating correctly, I was still taken aback by the low number on the scale.",,,,,
Abaft,toward the stern; behind,The wind was abaft which made the ship glide faster towards our destination.,"They placed the lifeboats in the rear part of the ship, so I headed abaft to retrieve one.",My first sailing lesson was learning that abaft was at the stern of the boat.,"The sea spray was coming from abaft, making my back all wet.",I was told to sit abaft to lessen my seasickness because the rear of the ship was less choppy than the front.,,,,,
Abandon,to stop caring and leave or to desert,"Since the young girl was unable to care for the newborn, she decided to abandon the child at a fire station.",Carl rarely commits to anything so everyone expects him to abandon his fiancée at the altar.,"During the snow storm, many people made the decision to abandon their cars on the highway.",The military police is currently looking for the soldier who chose to abandon his post during battle.,"Because this plan is not feasible, we need to abandon it and come up with another one.",,,,,
Abase,to lower so as to hurt feelings,My stepmother is an evil woman who likes to abase little children because she had a miserable childhood herself.,"Because Mark hated himself, he often tried to abase others by calling them names.",I will not remain married to a man who tries to abase me in order to make me feel worthless!,"Although I need money badly, I will not abase myself by working for pennies.",My jealous sister tried to abase me by making fun of my reading glasses.,"When my brother behaved badly, my mother would abase him by comparing him to a bad puppy.",The gossip columnist tried to abase the singer’s reputation by spreading lies about him.,"Even though John was angry at his wife for losing a thousand dollars, he chose not to abase her with cruel words.","Although Alice bullies smaller kids at school, she does not abase her younger brother at home.",I could not hold my tongue when the snobby customer in front of me tried to abase the salesperson by screaming at her.
Abaser,someone who degrades or lowers someone,"After the abaser would make fun of her daughter-in-law’s cooking, she would then continue to talk bad about the young woman’s appearance as well.","When everyone in the grocery store heard the abaser call her son names for dropping the fruit, other customers felt sorry for the little boy.",Even the abaser couldn’t think of something mean to say to the young child because it seemed he had run out of mean words to say.,People who have low self-esteem will likely become an abaser because it makes them feel better to insult someone else.,Usually the classmates would avoid the abaser at all times because they did not want to be the recipient of her verbal cruelty.,,,,,
Abash,to humiliate someone and make them feel embarrassed or ashamed,"The officer tried to abash the inmates, humiliating them and treating them like dogs.",Daniel’s tendency to abash his wife left her embarrassed and thinking about divorce.,"Though he claims he didn’t mean to abash his brother, the man has a long history of embarrassing him in public.",Ross vowed to humiliate his opponent and abash him in any way possible.,"Because he doesn’t have any empathy, the evil man finds it fun to abash and embarrass others.",,,,,
Abate,to reduce in degree or intensity,I hope this medicine will abate the pain in my leg.,"In time, his anger will abate, and he will forgive you.","With any luck, the storm will abate soon so we can still have our picnic.",The firemen sprayed water on the burning house to abate the structural damage.,"After my massage, I felt my stress level abate a great deal.","Even though the unemployment rate continues to abate, voters are still unhappy with the president’s economic plan.","Because the paparazzi kept following the celebrity around town, the media coverage did not seem as though it would ever abate.",I married my husband because I know my love for him will never abate.,"By adding an extra lane to the highway, we can abate the traffic congestion during rush hour.",The diet pill is supposed to abate my appetite.
